Name,URL,Income,Pages,Size,404,500,Robots
WASHINGTON TRUST FOR HISTORIC PRESERVATION,www.wa-trust.org,783968.0,24554,193710802,346,12,True
STEAMER VIRGINIA V FOUNDATION INC,www.virginiav.org,661836.0,731,71709732,210,0,True
EAST BENTON COUNTY HISTORICAL SOCIETY,www.ebchs.org,32889.0,16,166109,0,0,True
WHALE MUSEUM,www.whalemuseum.org,722542.0,1244,9476820,5,0,True
PIONEER FARM MUSEUM,www.pioneerfarmmuseum.org,201391.0,76,1685203,2,0,False
LELOOSKA FOUNDATION,www.lelooska.org,88723.0,664,48251243,17,0,True
CENTER FOR WOODEN BOATS,www.cwb.org,2030985.0,8056,231273904,135,0,True
5TH AVENUE THEATER ASSOCIATION,5thavenue.org,26386886.0,653,130371650,0,0,True
NAVAL UNDERSEA MUSEUM FOUNDATION NAVAL HISTORICAL CENTER,navalunderseamuseum.org,114405.0,490,165602162,1,0,True
NORDIC HERITAGE MUSEUM FOUNDATION NORDIC HERITAGE MUSEUM,www.nordicmuseum.org,2734149.0,262,2656227,2,0,True
CHILDRENS MUSEUM,www.thechildrensmuseum.org,1648866.0,1399,48455392,12,0,True
EASTSIDE HERITAGE CENTER,www.eastsideheritagecenter.org,241323.0,46,687263,2,0,False
CENTRAL WASHINGTON AGRICULTURAL MUSEUM,www.centralwaagmuseum.org,53951.0,346,24534737,15,0,True
PORT GAMBLE SKLALLAM FOUNDATION,www.sklallamfoundation.org,213556.0,0,0,0,0,False
MAPLE VALLEY HISTORICAL SOCIETY,www.maplevalleyhistorical.com,19629.0,0,0,0,0,False
LYNDEN HERITAGE FOUNDATION,www.lyndenpioneermuseum.com,137400.0,1414,19543329,24,0,True
MUSEUM OF NORTHWEST ART,www.museumofnwart.org,734049.0,4386,218575617,27,0,True
CAMAS WASHOUGAL HISTORICAL SOCIETY,www.2rhm.com,124773.0,0,0,0,0,False
PRATT FINE ARTS CENTER,www.pratt.org,2253963.0,2687,125576174,115,0,True
PORT TOWNSEND MARINE SCIENCE CENTER,www.ptmsc.org,623236.0,48,2856353,3,0,False
THE HYDROPLANE AND RACEBOAT MUSEUM,www.thunderboats.org,420351.0,18,409482,15,0,False
WESTPORT SOUTH BEACH HISTORICAL SOCIETY,www.westportmaritimemuseum.com,99443.0,0,0,0,0,False
SOUTHWEST SEATTLE HISTORICAL SOCIETY,www.loghousemuseum.info,68424.0,2145,843325750,29,0,True
BELLEVUE BOTANICAL GARDEN SOCIETY,www.bellevuebotanical.org,1580258.0,298,4513429,0,3,True
HANDS ON CHILDRENS MUSEUM,www.hocm.org,2750165.0,0,0,0,0,False
HISTORICAL SOCIETY OF FEDERAL WAY,www.federalwayhistory.org,21229.0,0,0,0,0,False
SEATTLE CHINESE GARDEN SOCIETY,www.seattlechinesegarden.org,235404.0,715,107847883,15,0,True
ENVIRONMENTAL SCIENCE & TECHNOLOGY FOUNDATION,www.crehst.org,323306.0,6,10353,0,0,True
FRENCH TOWN HISTORICAL FOUNDATION,frenchtownpartners.org,270846.0,57,6159093,0,0,True
AMERICAN HOP MUSEUM,www.americanhopmuseum.org,74057.0,0,0,0,0,False
EXPERIENCE LEARNING COMMUNITY,empmuseum.org,17000959.0,3451,655365151,348,0,False
DUNGENESS RIVER AUDUBON CENTER,www.dungenessrivercenter.org,663355.0,0,0,0,0,False
NEW DUNGENESS LIGHT STATION ASSOCIATION,www.newdungenesslighthouse.com,150338.0,0,0,0,0,False
FRIENDS OF WHITMAN COUNTY LIBRARY,www.whitco.lib.wa.us,26717.0,2067,75569833,31,0,True
HISTORY HOUSE,www.historyhouse.org,332769.0,64,2709639,5,0,False
MUSEUM OF GLASS,www.museumofglass.org,3993426.0,1294,234357668,6,0,False
GEORGETOWN POWERPLANT MUSEUM,www.georgetownpowerplantmuseum.org,144539.0,0,0,0,0,False
KIDSQUEST CHILDRENS MUSEUM,www.kidsquestmuseum.org,1749235.0,20007,156030932,5396,0,False
LACONNER QUILT & TEXTILE MUSEUM IN THE HISTORIC GACHES MANSI,www.laconnerquilts.org,371791.0,693,79507617,3,0,True
LUMMI NATION SERVICE ORGANIZATION,lumminationservice.org,2147570.0,0,0,0,0,False
